,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,RLCUSDT,1461.0,3.758,3.752,3.76,5490.438,668.1724
0,ZENUSDT,84.58,10.2655,10.25,10.27,868.2559899999999,2608.05293
0,DOCKUSDT,78201.0,0.034765000000000004,0.03461,0.0348,2718.6577650000004,1961.6846550000002
0,ARPAUSDT,60503.4,0.0669,0.0668,0.06693,4047.6774600000003,2132.103
0,FUNUSDT,111777.0,0.005665,0.005654,0.005663,633.2167049999999,43.22395
0,DREPUSDT,115.0,0.2661,0.2657,0.266,30.6015,0.0
0,LTOUSDT,216124.0,0.10275000000000001,0.102,0.1034,22206.741,4118.631
0,TROYUSDT,765396.0,0.002375,0.002369,0.002376,1817.8155,1671.014375
0,CTSIUSDT,44424.0,0.35385,0.3533,0.3545,15719.4324,9615.87375
0,MBLUSDT,998144.0,0.0047485,0.004737,0.004748,4739.686784,4706.9173855
0,BNTUSDT,1630.9,0.7835000000000001,0.782,0.7831,1277.8101500000002,192.66265
0,SNXUSDT,4347.5,3.926,3.92,3.931,17068.285,15268.606600000001
0,MDTUSDT,37679.3,0.077315,0.0772,0.0776,2913.1750795,1757.9807385
0,NKNUSDT,2463.0,0.13190000000000002,0.1317,0.1319,324.8697,0.0
0,OGNUSDT,28.0,0.17265,0.1724,0.1726,4.8342,0.0
0,COMPUSDT,165.397,69.2005,68.89,69.45,11445.5550985,5731.185410000001
0,VTHOUSDT,1545180.0,0.004723,0.004697,0.004727,7297.885139999999,6261.3661139999995
0,IQUSDT,1208240.0,0.007890000000000001,0.00787,0.007911,9533.013600000002,6429.639900000001
0,RVNUSDT,746547.9,0.024544999999999997,0.02451,0.02461,18324.018205499997,24694.2556905
0,SOLUSDT,628.5,102.32300000000001,102.17,102.3,64310.00550000001,21848.006960000002
0,DGBUSDT,186244.6,0.01108,0.01103,0.01114,2063.590168,2395.028424
0,COTIUSDT,160762.0,0.2116,0.2113,0.21366,34017.2392,18055.828
0,SCUSDT,11193100.0,0.009805,0.009772,0.0099,109748.3455,77541.15604
0,STXUSDT,6591.1,2.5345,2.5307,2.5347,16705.14295,9159.42955
0,NULSUSDT,389.0,0.2705,0.2702,0.2706,105.2245,0.0
0,ONGUSDT,882.0,0.3418,0.3413,0.3419,301.4676,218.752
0,CREAMUSDT,9.394,15.974,15.95,15.98,150.059756,0.0
0,MTLUSDT,1724.9,1.6125,1.61,1.612,2781.4012500000003,0.0
0,TFUELUSDT,3276.0,0.04985,0.04977,0.04982,163.30859999999998,349.19925
0,IOTAUSDT,2916.0,0.2683,0.2679,0.2683,782.3628,125.56439999999999
0,IOSTUSDT,515799.0,0.009705,0.00969,0.00971,5005.8292950000005,4205.962605
0,DASHUSDT,17.205,30.015,29.97,30.02,516.4080749999999,0.0
0,ZILUSDT,126258.3,0.023575,0.02354,0.0236,2976.5394225,427.890965
0,VITEUSDT,12239.8,0.024325,0.02429,0.02442,297.73313499999995,35.3199
0,ZECUSDT,19.508,27.6615,27.62,27.68,539.620542,5.974884
0,WAVESUSDT,8.56,2.3805,2.377,2.38,20.377080000000003,0.0
0,COSUSDT,80562.2,0.00669,0.00668,0.00669,538.9611179999999,0.0
0,DENTUSDT,120278.0,0.001431,0.001429,0.001431,172.117818,583.222653
0,QTUMUSDT,2287.5,3.3289999999999997,3.324,3.332,7615.0875,2416.5211
0,ENJUSDT,197.5,0.34809999999999997,0.3476,0.348,68.74974999999999,191.97715
0,BATUSDT,11201.0,0.2549,0.2545,0.2555,2855.1349,0.0
0,ICXUSDT,1845.3000000000002,0.24925,0.2489,0.2493,459.941025,866.2434500000002
0,THETAUSDT,822.3000000000001,1.2930000000000001,1.291,1.296,1063.2339000000002,6490.342800000001
0,ZRXUSDT,368.0,0.3605,0.3598,0.3602,132.664,0.0
0,KEYUSDT,1061.0,0.007124999999999999,0.007113,0.007121,7.559625,47.901374999999994
0,XLMUSDT,261244.0,0.11574999999999999,0.1156,0.1159,30238.993,3672.2844999999998
0,ATOMUSDT,553.07,10.2705,10.255,10.268,5680.305435,4859.17896
0,VETUSDT,188575.6,0.044950000000000004,0.04488,0.04495,8476.473220000002,8757.446680000001
0,HOTUSDT,399248.0,0.0023534999999999997,0.00235,0.002353,939.6301679999999,542.2463999999999
0,EOSUSDT,150971.5,0.798,0.792,0.799,120475.25700000001,919.3758
0,ADAUSDT,54323.700000000004,0.5885,0.5879,0.5886,31969.497450000003,46349.377250000005
0,ONEUSDT,3011234.4,0.02244,0.02225,0.02267,67572.099936,21286.806156000002
0,ANKRUSDT,448729.4,0.03251,0.03243,0.03262,14588.192793999999,7237.395705999998
0,WINUSDT,82795139.0,0.00012185000000000001,0.0001217,0.0001221,10088.58768715,13788.862200750002
0,FETUSDT,149005.0,1.1005,1.0975,1.1042,163980.0025,0.0
0,ALGOUSDT,27188.0,0.19569999999999999,0.1952,0.1958,5320.691599999999,3523.9698999999996
0,OMGUSDT,26423.6,0.75715,0.756,0.76,20006.62874,15167.910235000001
0,FTMUSDT,9564.0,0.4145,0.4137,0.4144,3964.278,3151.029
0,MATICUSDT,10.4,0.9735,0.9724,0.9734,10.124400000000001,4943.530350000001
0,CELRUSDT,247169.6,0.02525,0.02511,0.0253,6241.032400000001,5119.0234
0,BNBUSDT,41.535000000000004,380.17,379.6,380.0,15790.360950000002,0.0
0,DOGEUSDT,624310.0,0.08595,0.08584,0.08596,53659.4445,13065.345449999999
0,TRXUSDT,1134570.1,0.13745000000000002,0.13725,0.13756,155946.66024500004,94208.106295
