,Unnamed: 0,coin,v,price,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb
3660,7,MATICUSDT,25895.0,0.9952,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,25895.0,25895.0
3661,8,MATICUSDT,14062.2,0.9951,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,14062.2,14062.2
3662,9,MATICUSDT,16868.7,0.9949,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,16868.7,16868.7
3663,10,MATICUSDT,4556.0,0.9946,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,4556.0,4556.0
3664,11,MATICUSDT,13575.3,0.9945,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,13575.3,13575.3
3665,12,MATICUSDT,55940.2,0.9942,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,55940.2,55940.2
3666,13,MATICUSDT,10686.4,0.9941,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,10686.4,10686.4
3667,14,MATICUSDT,15025.1,0.994,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,15025.1,15025.1
3668,15,MATICUSDT,17098.0,0.9938,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,17098.0,17098.0
3669,0,HOTUSDT,2812358.0,0.002365,504239.0,0.0023695,0.002366,0.00237,1194.7943105,1417.4822900000001,2812358.0,2812358.0
3670,1,HOTUSDT,844214.0,0.002364,504239.0,0.0023695,0.002366,0.00237,1194.7943105,1417.4822900000001,844214.0,844214.0
3671,0,ONEUSDT,507971.3,0.01974,601441.0,0.020479999999999998,0.02043,0.02051,12317.51168,7989.6698879999985,507971.3,507971.3
3672,1,ONEUSDT,247399.4,0.01966,601441.0,0.020479999999999998,0.02043,0.02051,12317.51168,7989.6698879999985,247399.4,247399.4
3673,2,ONEUSDT,2916.8,0.01961,601441.0,0.020479999999999998,0.02043,0.02051,12317.51168,7989.6698879999985,0.0,2916.8
3674,0,ATOMUSDT,81.11,10.404,330.12,10.4145,10.399,10.411,3438.03474,5802.959400000001,0.0,0.0
3675,1,ATOMUSDT,1368.08,10.392,330.12,10.4145,10.399,10.411,3438.03474,5802.959400000001,1368.08,1368.08
3676,2,ATOMUSDT,1327.0,10.388,330.12,10.4145,10.399,10.411,3438.03474,5802.959400000001,1327.0,1327.0
